S001,0

S002,1

S003,2

S004,3

S005,1

S006,2

S007,2

S008,4

S009,3

S010,1

S011,5

S012,4

S013,1

S014,6

S015,3

S016,5

S017,5

S018,6

S019,3

S020,2

S021,3

S022,3

S023,4

S024,7

S025,3

S026,4

S027,4

S028,8

S029,4

S030,7

S031,3

S032,4

S033,6

S034,4

S035,5

S036,7

S037,5

S038,8

S039,5

S040,8

S041,5

S042,5

S043,3

S044,5

S045,6

S046,4

S047,8

S048,6

S049,0

S050,6

S051,7

S052,7

S053,5

S054,4

S055,3

S056,9

S057,8

S058,4

S059,9

S060,5

S061,5

S062,0

S063,7

S064,4

S065,4

S066,4

S067,3

S068,6

S069,6

S070,5

S071,7

S072,5

S073,6

S074,6

S075,4

S076,6

S077,5

S078,5

S079,5

S080,6

S081,9

S082,5

S083,8

S084,6

S085,6

S086,5

S087,6

S088,4

S089,4

S090,5

S091,9

S092,9

S093,5

S094,3

S095,7

S096,5

S097,6

S098,7

S099,4

S100,5

S101,2

S102,6

S103,4

S104,6

S105,5

S106,3

S107,9

S108,6

S109,5

S110,3

S111,6

S112,5

S113,6

S114,9

S115,7

S116,6

S117,7

S118,0

S119,9

S120,7

S121,5

S122,6

S123,6

S124,7

S125,3

S126,7

S127,3

S128,6

S129,7

S130,5

S131,8

S132,8

S133,7

S134,5

S135,6

S136,7

S137,8

S138,5

S139,5

S140,10

S141,8

S142,5

S143,5

S144,6

S145,7

S146,7

S147,6

S148,4

S149,6

S150,8

S151,5

S152,3

S153,6

S154,8

S155,11

S156,3

S157,4

S158,6

S159,3

S160,5

S161,8

S162,9

S163,3

S164,7

S165,5

S166,8

S167,4

S168,2

S169,5

S170,11

S171,4

S172,10

S173,8

S174,6

S175,3

S176,10

S177,8

S178,7

S179,7

S180,9

S181,4

S182,2

S183,6

S184,8

S185,6

S186,4

S187,5

S188,6

S189,10

S190,7

S191,3

S192,6

S193,6

S194,6

S195,7

S196,5

S197,7

S198,8

S199,6

S200,6

S201,9

S202,12

S203,9

S204,5

S205,8

S206,10

S207,6

S208,7

S209,7

S210,7

S211,3

S212,10

S213,8

S214,5

S215,7

S216,7

S217,8

S218,5

S219,4

S220,4

S221,6

S222,6

S223,7

S224,6

S225,9

S226,2

S227,6

S228,3

S229,5

S230,6

S231,2

S232,6

S233,4

S234,10

S235,10

S236,6

S237,6

S238,5

S239,7

S240,3

S241,5

S242,5

S243,5

S244,6

S245,3

S246,1

S247,2

S248,5

S249,4

S250,7

S251,6

S252,7

S253,4

S254,7

S255,8

S256,7

S257,10

S258,3

S259,4

S260,5

S261,6

S262,4

S263,8

S264,6

S265,4

S266,2

S267,6

S268,3

S269,3

S270,1

S271,4

S272,4

S273,10

S274,9

S275,6

S276,8

S277,5

S278,5

S279,4

S280,6

S281,8

S282,1

S283,3

S284,7

S285,7

S286,6

S287,8

S288,6

S289,8

S290,7

S291,7

S292,8

S293,6

S294,4

S295,6

S296,4

S297,8

S298,9

S299,7

S300,5

S301,6

S302,8

S303,4

S304,5

S305,7

S306,7

S307,5

S308,7

S309,9

S310,2

S311,8

S312,8

S313,4

S314,3

S315,4

S316,7

S317,3

S318,2

S319,5

S320,5

S321,4

S322,0

S323,1

S324,5

S325,7

S326,7

S327,6

S328,6

S329,6

S330,4

S331,9

S332,5

S333,6

S334,3

S335,3

S336,4

S337,5

S338,9

S339,10

S340,9

S341,2

S342,7

S343,7

S344,7

S345,12

S346,8

S347,3

S348,5

S349,6

S350,5

S351,7

S352,6

S353,7

S354,4

S355,4

S356,6

S357,5

S358,3

S359,5

S360,4

S361,8

S362,6

S363,2

S364,2

S365,6

S366,6

S367,7

S368,7

